id,price_clean,high_price,split,property_type,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,bathrooms,distance_cbd_km,amenity_count,has_pool,has_free_parking,has_air_conditioning,has_kitchen,has_washer,has_dryer
1187485968700667384,450.0,1,train,Entire rental unit,Melbourne,-37.81345842894117,144.96210503705086,6,3.0,3.0,2.0,0.08880909635214676,21,1,0,1,1,1,1
1187654922580525063,184.5,0,train,Entire rental unit,Maribyrnong,-37.789212,144.88508,4,2.0,2.0,1.0,7.371732605501408,31,0,1,1,1,1,0
1188110831758196403,270.0,0,train,Entire rental unit,Whitehorse,-37.81634,145.11816,2,1.0,1.0,1.0,13.624424867741396,29,0,0,1,1,1,0
1188117306336700632,357.0,0,train,Entire home,Casey,-38.07177,145.36055,6,3.0,4.0,2.0,45.15334249905457,43,0,1,1,1,1,0
1188521188748716341,269.5,0,test,Entire home,Moonee Valley,-37.76538,144.92772,4,2.0,2.0,2.0,6.197977202350766,43,0,1,1,1,1,1
1188679399677650697,421.0,1,train,Entire home,Wyndham,-37.8998591,144.7786224,10,5.0,6.0,3.0,18.823086145438445,57,0,1,1,1,1,1
1188713333810537894,330.5,0,train,Entire home,Wyndham,-37.8899653,144.5888026,8,4.0,4.0,2.0,33.94249716223243,41,0,1,1,1,1,1
1188758009663699190,305.5,0,train,Entire home,Maroondah,-37.78271,145.28707,7,3.0,5.0,2.5,28.67162366440986,58,0,1,1,1,1,1
1188772381391077096,133.0,0,train,Entire rental unit,Melbourne,-37.80466,144.96304,3,1.0,2.0,1.0,0.994097991737809,39,1,1,1,1,1,1
1188784365220553559,190.5,0,train,Entire guesthouse,Yarra Ranges,-37.653108180254485,145.5116092116394,2,1.0,1.0,1.0,51.43148059743551,28,0,1,1,1,0,0
1188957639800565635,226.67,0,train,Entire rental unit,Port Phillip,-37.8848109747948,144.9879166075657,4,2.0,2.0,1.0,8.2126445860916,25,0,0,1,1,1,1
1189025857640923432,270.0,0,train,Entire condo,Melbourne,-37.82044,144.9429,4,1.0,2.0,1.0,1.9305268847560684,55,1,1,1,1,1,1
1189464703143226497,428.0,1,test,Entire rental unit,Port Phillip,-37.82930666044939,144.94730389303177,2,1.0,1.0,1.0,2.230544909876061,46,1,1,1,1,1,0
1189484685993518151,294.0,0,train,Entire home,Maribyrnong,-37.79691902623769,144.88837638096825,4,2.0,2.0,1.0,6.821854520663125,38,0,1,1,1,1,0
