model,feature_set,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
DecisionTree,size_only,12,1,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7354854349541158,0.011245902368750985,55,0.7697957270544571,0.0015450233948226225
DecisionTree,size_only,12,1,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7370609702349089,0.010495716994467453,54,0.7642207401259741,0.002354144435726085
DecisionTree,size_only,12,1,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7423438996172106,0.014035715665891494,43,0.7598057674235262,0.002203494618102685
DecisionTree,size_only,12,5,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7375135871605598,0.012164624045703086,50,0.7602071869777223,0.0031602841738176024
DecisionTree,size_only,12,5,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7375135871605598,0.012164624045703086,50,0.7602071869777223,0.0031602841738176024
DecisionTree,size_only,12,5,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7371656285743831,0.010663391513526946,53,0.7570391583516515,0.003571717618371388
DecisionTree,size_only,12,15,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7407232460413048,0.008064863325622191,44,0.7539251551823215,0.0027873165931597576
DecisionTree,size_only,12,15,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7407232460413048,0.008064863325622191,44,0.7539251551823215,0.0027873165931597576
DecisionTree,size_only,12,15,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7407232460413048,0.008064863325622191,44,0.7539251551823215,0.0027873165931597576
DecisionTree,size_only,12,30,2,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
DecisionTree,size_only,12,30,10,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
DecisionTree,size_only,12,30,30,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7459841465006098,0.007256053071725762,31,0.7540058611645537,0.0036377596322510895
